"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6282196044922","","","","","","","","","","99.4197235107422","","","","","","","","","","99.4939880371094","","","","","","","","","","99.8765106201172","","","",
"Belize","BLZ","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3283920288086","","","","","","","","","77.1227264404297","81.3000030517578","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","51.3746490478516","","","","","","","","","","","","","","","","72.3132171630859","","","","","","","","","80.6543807983398","","","","","","85.9859390258789","86.8317489624023","86.8214569091797","","88.0802001953125","91.8732681274414","","","88.5828628540039","","","","","90.5025863647461","","",
"Brazil","BRA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","72.8531494140625","","","","","","","","","","","","","","","","","","","","86.5000534057617","","","","88.8061294555664","","89.8555908203125","90.2280120849609","90.2195510864258","90.4112167358398","90.6817016601563","91.6331481933594","91.6249008178711","91.7649612426758","92.0605163574219","92.3437881469727","93.0212020874023","93.2437133789063","93.4250717163086","","","94.5","",
"Barbados","BRB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","99.2515563964844","","","","","","","","","","99.5","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","68.8418273925781","","","","","","","","","","82.4613571166992","","","","","","","","","","90.1615524291992","","","","","","","","","","94.6524810791016","","","","","","","96.3012619018555","","","96.8600006103516","",
"Bhutan","BTN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6806602478027","","","","","","","45.2045097351074","","","","","57.0836181640625","","","","62.8199996948242","",
"Botswana","BWA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2992401123047","","","","","","","","","","","","81.8079528808594","","","","","","","","","","87.4512100219727","","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","8.39958000183105","","","","","","","","","","","","","20.3368797302246","","","","","","","","","","","","35.290901184082","","","","","","","","","","24.355489730835","","","","","","","","25.7563800811768","","26.2000007629395","","",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
